,countries,cases,todays,deaths,recovered,active
0,World,"158,980,250","+20,452","3,307,139","137,446,113","18,226,998"
1,USA,"33,476,781",,"595,812","26,439,712","6,441,257"
2,India,"22,662,575",+165,"246,146","18,671,222","3,745,207"
3,Brazil,"15,184,790",,"422,418","13,714,135","1,048,237"
4,France,"5,777,087",,"106,392","4,874,109","796,586"
5,Turkey,"5,031,332",,"43,029","4,716,918","271,385"
6,Russia,"4,880,262",,"113,326","4,496,132","270,804"
7,UK,"4,434,860",,"127,605","4,248,211","59,044"
8,Italy,"4,111,210",,"122,833","3,604,523","383,854"
9,Spain,"3,567,408",,"78,792","3,248,010","240,606"
10,Germany,"3,527,540",,"85,371","3,175,600","266,569"
11,Argentina,"3,147,740",,"67,325","2,817,165","263,250"
12,Colombia,"3,002,758",,"77,854","2,819,874","105,030"
13,Poland,"2,833,052",,"70,012","2,569,501","193,539"
14,Iran,"2,654,811",,"74,910","2,109,702","470,199"
15,Mexico,"2,365,792","+1,175","218,985","1,886,233","260,574"
16,Ukraine,"2,122,327","+2,817","46,512","1,768,753","307,062"
17,Peru,"1,850,290",,"64,103","1,720,665","65,522"
18,Indonesia,"1,713,684",,"47,012","1,568,277","98,395"
19,Czechia,"1,645,448",+381,"29,711","1,580,939","34,798"
20,South Africa,"1,596,595",,"54,735","1,516,256","25,604"
21,Netherlands,"1,560,022",,"17,323","1,317,448","225,251"
22,Canada,"1,286,666",,"24,626","1,181,251","80,789"
23,Chile,"1,247,469",,"27,218","1,183,155","37,096"
24,Iraq,"1,112,725",,"15,771","1,005,369","91,585"
25,Philippines,"1,101,990",,"18,472","1,022,224","61,294"
26,Romania,"1,066,111",,"28,966","1,013,666","23,479"
27,Belgium,"1,016,609","+2,258","24,551","888,546","103,512"
28,Sweden,"1,007,792",,"14,173","850,811","142,808"
29,Pakistan,"861,473","+3,447","18,993","762,105","80,375"
30,Portugal,"839,582",,"16,992","800,277","22,313"
31,Israel,"838,892",,"6,377","831,620",895
32,Hungary,"792,386",+677,"28,693","575,610","188,083"
33,Bangladesh,"773,513",,"11,934","710,162","51,417"
34,Jordan,"719,976",,"9,092","703,577","7,307"
35,Serbia,"700,408",,"6,558","661,398","32,452"
36,Switzerland,"670,613",,"10,706","601,958","57,949"
37,Japan,"633,027",,"10,823","555,401","66,803"
38,Austria,"631,076",,"10,382","603,901","16,793"
39,UAE,"536,017",,"1,613","516,329","18,075"
40,Lebanon,"532,839",,"7,486","481,968","43,385"
41,Morocco,"513,864",,"9,072","500,914","3,878"
42,Malaysia,"440,677",,"1,683","401,934","37,060"
43,Saudi Arabia,"426,384",,"7,072","409,740","9,572"
44,Bulgaria,"410,202",,"16,929","348,392","44,881"
45,Ecuador,"400,296",,"19,222","342,878","38,196"
46,Nepal,"394,667",,"3,720","302,787","88,160"
47,Slovakia,"385,475",,"12,019","367,892","5,564"
48,Belarus,"368,888",,"2,632","359,687","6,569"
49,Panama,"367,656",,"6,271","357,101","4,284"
